0;0
6;15
18;80
18;195
18;360
0;575
15;840
15;1155
105;1520
33;1935
81;2400
129;2915
0;3480
174;4095
156;4760
132;5475
228;6240
24;7055
159;7920
267;8835
138;9800
0; 0
0; 15
15; 80
12; 195
54; 360
18; 575
81; 840
87; 1155
90; 1520
123; 1935
126; 2400
51; 2915
153; 3480
15; 4095
21; 4760
120; 5475
171; 6240
57; 7055
183; 7920
177; 8835
147; 9800
0; 0
3; 15
24; 80
33; 195
54; 360
0; 575
6; 840
54; 1155
27; 1520
99; 1935
108; 2400
36; 2915
132; 3480
135; 4095
0; 4760
84; 5475
0; 6240
15; 7055
18; 7920
108; 8835
117; 9800
0; 0
3; 15
24; 80
3; 195
33; 360
0; 575
69; 840
21; 1155
57; 1520
27; 1935
90; 2400
147; 2915
51; 3480
81; 4095
21; 4760
90; 5475
78; 6240
123; 7055
27; 7920
63; 8835
231; 9800
0; 0
9; 15
12; 80
36; 195
48; 360
51; 575
45; 840
96; 1155
6; 1520
30; 1935
126; 2400
72; 2915
66; 3480
93; 4095
147; 4760
189; 5475
81; 6240
192; 7055
201; 7920
24; 8835
198; 9800
0; 0
6; 15
0; 80
39; 195
48; 360
39; 575
6; 840
30; 1155
75; 1520
45; 1935
0; 2400
87; 2915
174; 3480
114; 4095
189; 4760
114; 5475
216; 6240
51; 7055
126; 7920
21; 8835
114; 9800
0; 0
0; 15
0; 80
21; 195
51; 360
51; 575
33; 840
78; 1155
51; 1520
45; 1935
141; 2400
129; 2915
168; 3480
177; 4095
54; 4760
189; 5475
39; 6240
204; 7055
150; 7920
252; 8835
210; 9800
0; 0
3; 15
15; 80
6; 195
48; 360
33; 575
33; 840
33; 1155
93; 1520
81; 1935
39; 2400
18; 2915
42; 3480
120; 4095
45; 4760
207; 5475
69; 6240
21; 7055
153; 7920
135; 8835
21; 9800
0; 0
0; 15
12; 80
27; 195
18; 360
30; 575
57; 840
51; 1155
78; 1520
63; 1935
36; 2400
93; 2915
27; 3480
108; 4095
42; 4760
45; 5475
105; 6240
105; 7055
186; 7920
18; 8835
0; 9800
0; 0
9; 15
9; 80
24; 195
27; 360
15; 575
75; 840
21; 1155
0; 1520
96; 1935
87; 2400
144; 2915
108; 3480
60; 4095
81; 4760
63; 5475
120; 6240
213; 7055
213; 7920
192; 8835
108; 9800
0; 0
0; 15
12; 80
27; 195
54; 360
54; 575
12; 840
75; 1155
87; 1520
96; 1935
6; 2400
150; 2915
60; 3480
66; 4095
141; 4760
51; 5475
162; 6240
27; 7055
210; 7920
222; 8835
114; 9800
0; 0
9; 15
9; 80
15; 195
45; 360
42; 575
9; 840
84; 1155
33; 1520
15; 1935
69; 2400
105; 2915
114; 3480
120; 4095
60; 4760
144; 5475
180; 6240
108; 7055
219; 7920
63; 8835
81; 9800
0; 0
0; 15
24; 80
12; 195
54; 360
42; 575
30; 840
63; 1155
90; 1520
48; 1935
120; 2400
147; 2915
0; 3480
81; 4095
63; 4760
168; 5475
216; 6240
228; 7055
240; 7920
252; 8835
207; 9800
0; 0
0; 15
18; 80
36; 195
0; 360
69; 575
84; 840
39; 1155
57; 1520
42; 1935
33; 2400
39; 2915
27; 3480
123; 4095
0; 4760
168; 5475
51; 6240
108; 7055
246; 7920
117; 8835
156; 9800
0; 0
3; 15
15; 80
3; 195
0; 360
21; 575
84; 840
30; 1155
12; 1520
84; 1935
141; 2400
99; 2915
129; 3480
129; 4095
21; 4760
111; 5475
0; 6240
66; 7055
69; 7920
234; 8835
246; 9800
0; 0
9; 15
12; 80
39; 195
39; 360
42; 575
33; 840
9; 1155
54; 1520
27; 1935
132; 2400
90; 2915
120; 3480
60; 4095
141; 4760
15; 5475
51; 6240
33; 7055
57; 7920
243; 8835
177; 9800
0; 0
9; 15
21; 80
24; 195
9; 360
39; 575
18; 840
9; 1155
81; 1520
63; 1935
72; 2400
108; 2915
21; 3480
111; 4095
48; 4760
201; 5475
27; 6240
174; 7055
60; 7920
111; 8835
162; 9800
0; 0
9; 15
6; 80
39; 195
0; 360
0; 575
27; 840
99; 1155
51; 1520
57; 1935
45; 2400
141; 2915
153; 3480
0; 4095
36; 4760
78; 5475
135; 6240
231; 7055
222; 7920
39; 8835
39; 9800
0; 0
0; 15
24; 80
39; 195
3; 360
45; 575
66; 840
9; 1155
84; 1520
75; 1935
0; 2400
36; 2915
0; 3480
138; 4095
0; 4760
108; 5475
162; 6240
153; 7055
105; 7920
258; 8835
39; 9800
0; 0
9; 15
0; 80
36; 195
48; 360
69; 575
18; 840
48; 1155
51; 1520
108; 1935
60; 2400
48; 2915
165; 3480
18; 4095
63; 4760
114; 5475
189; 6240
99; 7055
105; 7920
180; 8835
216; 9800
0; 0
6; 15
9; 80
36; 195
39; 360
27; 575
0; 840
96; 1155
0; 1520
66; 1935
72; 2400
0; 2915
72; 3480
24; 4095
90; 4760
195; 5475
213; 6240
24; 7055
48; 7920
144; 8835
249; 9800
0; 0
9; 15
18; 80
15; 195
9; 360
3; 575
81; 840
75; 1155
24; 1520
9; 1935
9; 2400
42; 2915
144; 3480
84; 4095
165; 4760
153; 5475
210; 6240
12; 7055
12; 7920
192; 8835
84; 9800
0; 0
9; 15
24; 80
12; 195
33; 360
36; 575
60; 840
0; 1155
15; 1520
84; 1935
45; 2400
36; 2915
156; 3480
132; 4095
81; 4760
105; 5475
0; 6240
30; 7055
141; 7920
222; 8835
147; 9800
0; 0
9; 15
6; 80
18; 195
45; 360
12; 575
60; 840
36; 1155
102; 1520
66; 1935
0; 2400
60; 2915
90; 3480
24; 4095
0; 4760
168; 5475
207; 6240
105; 7055
234; 7920
150; 8835
222; 9800
