
0; 0
21; 15
51; 80
69; 195
108; 360
123; 575
216; 840
285; 1155
258; 1520
282; 1935
279; 2400
48; 2915
375; 3480
231; 4095
579; 4760
294; 5475
402; 6240
510; 7055
564; 7920
477; 8835
285; 9800
